entry_id,topic,sme_name,specialization,content
net-01,5G Network Bands and Coverage Tiers,Priya Raman,Network Engineering,"T-Mobile operates two 5G tiers. Ultra Capacity 5G uses mid-band spectrum, primarily band n41 (2.5 GHz) plus n25 and n66, delivering the fastest speeds, typically 200-300 Mbps. Extended Range 5G uses band n71 (600 MHz) for broad coverage that reaches indoors and rural areas. Ultra Capacity 5G covers over 300 million people; Extended Range 5G covers over 330 million. A 5G-capable device and a T-Mobile SIM or eSIM are required to access 5G."
net-02,VoLTE and Wi-Fi Calling Setup,Priya Raman,Network Engineering,VoLTE (Voice over LTE) is enabled by default on modern devices and is required for calling after the 3G/2G network shutdown. Wi-Fi Calling can be enabled under Settings > Network and requires a registered E911 address for emergency calls. Wi-Fi Calling works over any Wi-Fi network and is useful where cellular signal is weak. Most devices support seamless hand-off between Wi-Fi Calling and VoLTE.
net-03,Network Outage Troubleshooting,Priya Raman,Network Engineering,"Standard troubleshooting steps for no-service or slow-data reports: Step 1, toggle Airplane mode for 10 seconds. Step 2, restart the device. Step 3, check for known outages on the T-Mobile status page or the T-Life app. Step 4, reset network settings under Settings > General > Reset. If the issue persists, escalate to Network Engineering with the customer's location and device IMEI."
net-04,International Roaming - Simple Global,Priya Raman,Network Engineering,"Simple Global is included on Go5G and Magenta plans: unlimited texting and 5 GB of high-speed data in 215+ countries, then unlimited data at reduced speed. Voice roaming is $0.25 per minute in included countries. For more high-speed data, the International Pass options are a 1-day pass for $5 (512 MB) or a 10-day pass for $35 (5 GB). Roaming should be activated in account settings before travel."
net-05,Signal Boosters and Home Coverage,Priya Raman,Network Engineering,"For homes with weak signal, T-Mobile offers the 4G/5G CellSpot signal booster to qualifying customers; it requires a broadband internet connection. Wi-Fi Calling is the recommended free alternative for weak indoor signal. Coverage at a specific address can be verified on the T-Mobile coverage map before recommending a booster."
plan-01,Consumer Rate Plans Overview,Marcus Bell,Plans & Devices,"Current consumer plans (single-line pricing with AutoPay): Go5G Plus is $90/mo and includes unlimited premium data, 50 GB of mobile hotspot, and Netflix Standard. Go5G is $75/mo with 15 GB hotspot. Magenta MAX is $85/mo with unlimited premium data and 40 GB hotspot. Essentials is $60/mo with unlimited data and no premium streaming. Multi-line discounts apply and AutoPay is required for advertised pricing."
plan-02,Device Financing (EIP) and Trade-In,Marcus Bell,Plans & Devices,The Equipment Installment Plan (EIP) offers 24-month 0% APR financing with $0 down for qualified credit. Trade-in credits are applied as monthly bill credits spread over 24 months. An eligible flagship trade-in can earn up to $830 in credits with a qualifying plan. A device must be paid off or traded in to upgrade early.
plan-03,eSIM and BYOD Activation,Marcus Bell,Plans & Devices,"eSIM activation is done via QR code or the T-Life app, with no physical SIM required. For Bring Your Own Device (BYOD), check IMEI compatibility at t-mobile.com/byod. The device must be unlocked and support T-Mobile bands such as n41 and n71. To activate, scan or insert the SIM and dial #686# to confirm the phone number."
plan-04,Mobile Hotspot and Data Allotments,Marcus Bell,Plans & Devices,"Mobile hotspot allotments by plan: Go5G Plus 50 GB, Magenta MAX 40 GB, Go5G 15 GB. After the monthly high-speed hotspot data is used, hotspot speeds reduce to 600 Kbps for the rest of the cycle. Hotspot data is tracked separately from on-device unlimited data."
plan-05,Discounts and Promotions,Marcus Bell,Plans & Devices,"T-Mobile offers reduced per-line pricing for Military, Veterans, First Responders, and 55+ customers. The 55+ plan offers 2 lines for $70/mo with AutoPay on Essentials Choice. The AutoPay discount is $5 per line for up to 8 lines with an eligible debit card or bank account. Promotions require a qualifying plan and may require a new line activation."
